precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,station_precip_mm,total_cases,ndvi
25.41,296.74,43.19,92.4185714286,3.0,0,0.22830712500000003
60.61,296.63428571400004,46.0,93.5814285714,55.6,0,0.256011875
55.52,296.41571428599997,64.77,95.84857142860001,38.1,0,0.170503575
5.6,295.357142857,23.96,87.2342857143,30.0,0,0.206917875
62.76,296.432857143,31.8,88.1614285714,4.0,0,0.31654645
16.24,297.19142857099996,1.0,74.72857142859999,11.5,0,0.22081785
89.37,297.32,26.68,83.27571428569999,72.9,0,0.35258212499999997
42.08,297.627142857,16.9,82.49,50.1,0,0.375225825
49.22,298.238571429,5.59,74.74,89.2,0,0.35993569999999997
53.65,299.218571429,16.07,74.1514285714,78.0,0,0.32299285
23.12,300.802857143,2.5,57.7871428571,56.9,1,0.292352975
34.62,299.858571429,4.1,71.66,18.9,0,0.32761365
97.55,297.435714286,3.2,77.4871428571,104.2,0,0.322986325
95.89,299.35571428599997,2.6,71.4628571429,57.9,0,0.17091725750000003
46.22,298.372857143,16.6,82.3714285714,63.0,0,0.28675822500000003
31.1,298.474285714,21.9,81.5228571429,3.0,1,0.202041075
25.21,299.211428571,9.9,75.54,45.2,1,0.27881785000000003
49.25,299.541428571,23.3,76.94142857140001,57.9,0,0.3635075
67.64,299.44,20.2,79.4285714286,7.1,0,0.272659175
51.83,300.74857142900004,19.2,74.8028571429,13.5,0,0.250512525
39.25,301.637142857,3.6,67.1857142857,0.0,0,0.09886559
55.91,300.872857143,11.2,66.0428571429,26.34513195495169,0,0.232795825
20.65,299.23,14.5,78.88571428569999,19.0,0,0.287096425
24.53,300.242857143,1.7,68.5571428571,0.8,0,0.19726607499999999
111.06,298.757142857,48.76,80.4085714286,67.2,1,0.32591430000000005
3.9,300.411428571,5.7,60.641428571400006,0.0,0,0.24279525
59.11,297.958571429,64.6,94.9557142857,38.9,0,0.25520715
69.85,298.044285714,22.98,82.3471428571,59.9,0,0.261770825
149.71,298.36857142900004,24.92,84.1757142857,52.0,0,0.178261325
50.02,295.722857143,88.03,94.05714285709999,166.9,0,0.19654167500000003
87.18,295.297142857,80.95,95.40714285709998,147.8,0,0.32515594999999997
31.93,295.511428571,16.4,89.08,3.3,0,0.20447500000000002
66.84,295.37,37.96,94.8842857143,83.1,0,0.1490149
16.17,296.07,34.18,92.84285714290002,38.1,0,0.13286785
47.14,297.038571429,26.96,93.3142857143,21.1,0,0.26291000000000003
118.07,297.61857142900004,83.89,94.09285714290002,87.1,0,0.22106072499999996
74.34,296.79,195.2,94.0942857143,39.9,0,0.19819225
90.35,298.701428571,32.6,82.80142857140001,70.8,0,0.2077655
94.06,296.852857143,304.52,95.9242857143,80.0,0,0.135027735
86.46,296.305714286,91.43,96.7371428571,46.2,0,0.2750893
80.82,297.17571428599996,110.1,94.6028571429,120.1,0,0.3684714
77.73,297.062857143,120.32,94.6157142857,45.3,1,0.31609287500000005
78.01,297.961428571,78.3,88.14857142860001,14.9,0,0.24065715000000001
94.77,297.285714286,103.87,92.19285714290001,51.0,0,0.2521
45.56,297.135714286,85.9,95.82,66.0,0,0.219646425
74.08,297.297142857,80.3,98.34142857139999,0.0,0,0.30029465
70.81,296.922857143,53.1,94.71,64.1,1,0.282755975
90.07,296.845714286,20.3,91.4657142857,32.0,1,0.32726075
126.46,296.69142857099996,30.63,89.4871428571,17.0,0,0.26154524999999995
47.13,295.482857143,95.06,94.0171428571,37.1,0,0.263316075
53.93,296.0,13.45,88.1714285714,9.9,1,0.096439285
1.22,294.845714286,1.82,79.3228571429,31.0,0,0.277364275
52.1,295.79571428599996,23.6,84.8571428571,70.1,0,0.23374820000000002
39.09,295.80857142900004,16.7,88.3228571429,22.3,0,0.34365060000000003
52.05,297.555714286,18.0,84.2457142857,36.8,0,0.27024047500000004
54.52,296.815714286,38.29,90.8142857143,25.2,0,0.271994025
27.97,297.291428571,9.71,82.2257142857,10.9,0,0.188736925
0.0,298.537142857,0.2,66.66428571430001,0.41982206738889544,0,0.21662142500000003
5.14,298.395714286,0.0,69.4757142857,18.0,0,0.297010675
9.97,298.44,30.1,78.3885714286,47.9,0,0.22178215
47.58,298.75142857099996,16.9,76.9557142857,31.0,0,0.231460725
44.45,298.69142857099996,39.8,81.9871428571,35.1,0,0.269448225
36.2,298.66571428599997,19.6,78.9571428571,41.9,0,0.3215357
66.4,297.962857143,65.54,84.0328571429,69.0,0,0.35225
26.48,298.707142857,21.9,79.3657142857,13.2,0,0.332114275
63.42,299.547142857,32.6,78.33,14.2,0,0.322939275
58.75,299.158571429,12.3,74.4185714286,30.9,0,0.4480148749999999
77.89,300.30857142900004,49.2,72.1628571429,159.0,0,0.33371785
77.15,298.58428571400003,114.36,90.2657142857,89.1,0,0.18845535
83.53,298.341428571,46.46,85.5728571429,76.0,0,0.214266675
34.54,298.51428571400004,164.74,89.0042857143,35.1,0,0.3287143
61.82,298.847142857,181.2,87.48142857139999,43.9,0,0.270475
65.89,299.12,56.3,88.83714285709999,31.0,1,0.36058275
47.46,298.555714286,31.5,87.3771428571,12.2,1,0.33457202500000005
46.86,298.754285714,158.5,87.24,23.1,1,0.30031425
138.22,298.245714286,72.94,96.1185714286,75.0,2,0.29594522500000003
43.95,298.564285714,85.9,93.94714285709999,57.9,4,0.2109893
100.72,298.238571429,109.64,96.3557142857,25.1,1,0.3166889
70.16,297.13285714299997,109.8,94.5885714286,45.3,4,0.37569644999999996
64.79,300.012857143,5.5,76.6028571429,7.1,11,0.374275
22.77,299.877142857,4.7,75.2042857143,5.0,16,0.21560179999999998
121.07,298.91571428599997,19.91,81.5271428571,18.0,23,0.1266393
59.4,296.858571429,43.12,96.2671428571,120.2,12,0.2525007026030624
4.68,295.912857143,69.96,96.6414285714,70.4,14,0.17785419999999996
104.37,297.847142857,33.3,93.4385714286,62.8,18,0.298621425
37.46,297.695714286,49.43,92.05,14.0,8,0.11808689
80.14,297.062857143,201.2,97.15714285709998,47.6,7,0.1488178725
92.84,298.54,160.1,91.2214285714,48.3,10,0.2843375
41.96,298.358571429,46.9,89.7785714286,9.1,7,0.249233325
